Total,33933,19515,14418,3201,997,2204,37134,20512,16622,,,
Average,8483.25,4878.75,3604.5,800.25,249.25,551,9283.5,5128,4155.5,91.37986751,95.13943058,86.74046444
ES10,8901,5115,3786,773,221,552,9674,5336,4338,92.00951003,95.85832084,87.27524205
ES9,8744,5042,3702,758,221,537,9502,5263,4239,92.02273206,95.80087403,87.33191791
ES8,8456,4779,3677,881,259,622,9337,5038,4299,90.56442112,94.85907106,85.53151896
ES7,7832,4579,3253,789,296,493,8621,4875,3746,90.84792947,93.92820513,86.83929525
